Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-23,DIACABS,Diamond Power Infrastructure Limited,QIP,Neutral,High,"Committee Meeting Updates Diamond Power Infrastructure Limited has informed the Exchange regarding Outcome of Committee Meeting held on July 23, 2026 to approve preliminary placement document for QIP.",NSE_ANN
2026-07-23,AKUMS,Akums Drugs and Pharmaceuticals Limited,Mergers & Acquisitions,Bullish,High,"General Updates Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Acquisition of Oriflame India s Manufacturing business",NSE_ANN
2026-07-21,INFY,Infosys Ltd,Bonus Issue,Bullish,High,Bonus 1:1,NSE_CA
2026-07-21,TCS,Tata Consultancy Services,Buyback,Bullish,High,Buy Back of Shares,NSE_CA
2026-07-21,TATAMOTORS,Tata Motors,Preferential Allotment,Neutral,High,Preferential allotment of equity shares,NSE_ANN
2026-07-21,YESBANK,Yes Bank,QIP,Neutral,High,Fund raising via QIP of Rs 5000 Cr,NSE_ANN
2026-07-21,SUNPHARMA,Sun Pharma,Regulatory Approval,Bullish,High,Received approval from USFDA for new drug,NSE_ANN
2026-07-21,HDFCBANK,HDFC Bank Ltd,Mergers & Acquisitions,Bullish,High,Acquisition of stake in fintech NBFC - scheme of arrangement,NSE_ANN
2026-07-21,LT,Larsen & Toubro Ltd,Large Order Win,Bullish,High,Bagging/Receiving of orders - bags order worth Rs 15000 Cr,NSE_ANN
2026-07-21,DMART,Avenue Supermarts,Stock Split,Neutral,Medium,Face Value Split from 10 to 2,NSE_CA
2026-07-21,VEDL,Vedanta Ltd,Rights Issue,Bearish,Medium,Rights Issue,NSE_CA
2026-07-21,INFY,Infosys Ltd,Management Change,Neutral,Medium,Resignation of Chief Financial Officer,NSE_ANN
2026-07-24,REFEX,Refex Industries Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-24,NAUKRI,Info Edge (India) Limited,Dividend,Neutral,Low,Dividend - Rs 3.60 Per Share,NSE_CA
2026-07-24,SIYSIL,Siyaram Silk Mills Limited,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-24,FORTIS,Fortis Healthcare Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-24,BIRLACORPN,Birla Corporation Limited,Dividend,Neutral,Low,Dividend - Rs 12.50 Per Share,NSE_CA
2026-07-24,BHARTIARTL,Bharti Airtel Limited,Dividend,Neutral,Low,Dividend - Rs 24 Per Share,NSE_CA
2026-07-24,KARURVYSYA,Karur Vysya Bank Limited,Dividend,Neutral,Low,Dividend - Rs 2.60 Per Share,NSE_CA
2026-07-24,NOCIL,NOCIL Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-24,VOLTAMP,Voltamp Transformers Limited,Dividend,Neutral,Low,Dividend - Rs 100 Per Share,NSE_CA
2026-07-24,DIVISLAB,Divi's Laboratories Limited,Dividend,Neutral,Low,Dividend - Rs 30 Per Share,NSE_CA
2026-07-24,KIRLOSBROS,Kirloskar Brothers Limited,Dividend,Neutral,Low,Dividend - Rs 7 Per Sh,NSE_CA
2026-07-24,RADICO,Radico Khaitan Limited,Dividend,Neutral,Low,Dividend - Rs 9 Per Share,NSE_CA
2026-07-24,NEULANDLAB,Neuland Laboratories Limited,Dividend,Neutral,Low,Dividend - Rs 34 Per Share,NSE_CA
2026-07-24,SILINV,SIL Investments Limited,Dividend,Neutral,Low,Dividend - Rs 2.50 Per Share,NSE_CA
2026-07-24,HEROMOTOCO,Hero MotoCorp Limited,Dividend,Neutral,Low,Dividend - Rs 75 Per Share,NSE_CA
2026-07-24,ORIENTBELL,Orient Bell Limited,Dividend,Neutral,Low,Dividend - Re 1 Per Share,NSE_CA
2026-07-24,ABBOTINDIA,Abbott India Limited,Dividend,Neutral,Low,Dividend - Rs 525 Per Share & Special Dividend Rs 131 Per Share,NSE_CA
2026-07-24,SWELECTES,Swelect Energy Systems Limited,Dividend,Neutral,Low,Dividend - Rs 3.50 Per Share,NSE_CA
2026-07-24,INTELLECT,Intellect Design Arena Limited,Dividend,Neutral,Low,Dividend - Rs 4 Per Share/Special Dividend - Rs 3 Per Share,NSE_CA
2026-07-24,SASKEN,Sasken Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 13 Per Share,NSE_CA
2026-07-21,ITC,ITC Ltd,Dividend,Neutral,Low,Dividend - Rs 7.50 Per Share,NSE_CA
