Symbol,Sector,Sector Trend,Relative Strength,Above 20 SMA,Current Price
SUNPHARMA,Pharma,Strong,Strong,Y,1944.0
CIPLA,Pharma,Strong,Strong,Y,1447.1
DIVISLAB,Pharma,Strong,Strong,Y,6892.0
LUPIN,Pharma,Strong,Strong,Y,2506.6
DLF,Realty,Strong,Strong,Y,643.9
GODREJPROP,Realty,Strong,Strong,Y,2015.1
OBEROIRLTY,Realty,Strong,Strong,Y,1894.7
PRESTIGE,Realty,Strong,Strong,Y,1662.0
PHOENIXLTD,Realty,Strong,Strong,Y,2063.0
DRREDDY,Pharma,Strong,Neutral,N,1299.9
HDFCBANK,Banking,Improving,Strong,Y,816.5
ICICIBANK,Banking,Improving,Strong,Y,1397.3
BAJFINANCE,Financial Services,Improving,Strong,Y,998.6
BAJAJFINSV,Financial Services,Improving,Strong,Y,1869.4
CHOLAFIN,Financial Services,Improving,Strong,Y,1763.7
SHRIRAMFIN,Financial Services,Improving,Strong,Y,1021.0
SBIN,Banking,Improving,Neutral,N,1028.7
AXISBANK,Banking,Improving,Neutral,N,1309.1
KOTAKBANK,Banking,Improving,Neutral,N,371.5
HAL,Defence,Improving,Neutral,N,4357.0
BDL,Defence,Improving,Neutral,N,1341.1
SBICARD,Financial Services,Improving,Weak,N,586.55
BEL,Defence,Improving,Weak,N,406.75
MAZDOCK,Defence,Improving,Weak,N,2397.8
COCHINSHIP,Defence,Improving,Weak,N,1422.5
