Symbol,Company,Quarter,Revenue Growth %,Profit Growth %,Margin Change %,Result Classification
BAJAJ-AUTO,BAJAJ-AUTO,Q1 FY27,65.03,45.93,-2.02,Strong
NESTLEIND,NESTLEIND,Q1 FY27,33.62,39.34,0.62,Strong
TECHM,TECHM,Q1 FY27,17.39,25.58,0.61,Strong
KOTAKBANK,KOTAKBANK,Q1 FY27,16.63,22.55,1.18,Strong
JSWSTEEL,JSWSTEEL,Q1 FY27,5.23,209.45,6.58,Neutral
OBEROIRLTY,OBEROIRLTY,Q1 FY27,13.11,25.67,4.18,Neutral
HCLTECH,HCLTECH,Q1 FY27,13.94,20.32,0.71,Neutral
ICICIBANK,ICICIBANK,Q1 FY27,7.73,13.88,2.18,Neutral
TCS,TCS,Q1 FY27,12.09,9.2,-0.49,Neutral
RELIANCE,RELIANCE,Q1 FY27,18.39,7.93,-0.66,Neutral
AXISBANK,AXISBANK,Q1 FY27,5.32,2.1,-1.04,Neutral
WIPRO,WIPRO,Q1 FY27,10.59,0.65,-1.35,Neutral
BHEL,BHEL,Q1 FY27,-14.41,-25.32,-0.72,Weak
CIPLA,CIPLA,Q1 FY27,7.26,-35.42,-7.37,Weak
DRREDDY,DRREDDY,Q1 FY27,-5.56,-68.72,-11.1,Weak
BPCL,BPCL,Q1 FY27,36.0,-142.64,-5.19,Weak
