Signal Date,Symbol,Source Engine,Signal Type,Entry Price,1D %,5D %,20D %,Status
2026-06-22,EPACK,Deal Flow,BIG_BULK_BUY,252.66000366210938,-4.34,,,partial
2026-06-22,NOCIL,Deal Flow,BIG_BULK_BUY,190.82000732421875,0.39,,,partial
2026-06-22,SUBROS,Deal Flow,BIG_BULK_BUY,856.0,1.48,,,partial
2026-06-22,RBA,Deal Flow,BIG_BULK_BUY,79.68000030517578,-1.66,,,partial
2026-06-22,EMSLIMITED,Deal Flow,BIG_BULK_BUY,408.1499938964844,5.72,,,partial
2026-06-22,DENTA,Deal Flow,BIG_BULK_BUY,324.8999938964844,4.05,,,partial
2026-06-22,IGARASHI,Deal Flow,BIG_BULK_BUY,473.70001220703125,1.76,,,partial
2026-06-22,KSCL,Deal Flow,BIG_BULK_BUY,944.2000122070312,-1.07,,,partial
2026-06-22,NELCO,Deal Flow,BIG_BULK_BUY,925.1500244140625,-4.18,,,partial
2026-06-22,VISACHROME,Deal Flow,BIG_BULK_BUY,43.540000915527344,2.43,,,partial
2026-06-22,TFCILTD,Deal Flow,BIG_BULK_BUY,74.41000366210938,3.92,,,partial
2026-06-22,RHETAN,Deal Flow,BIG_BULK_BUY,27.639999389648438,-0.87,,,partial
2026-06-22,ASIANTILES,Deal Flow,BIG_BULK_BUY,55.310001373291016,1.55,,,partial
2026-06-22,NIITLTD,Deal Flow,BIG_BULK_BUY,103.58000183105469,-1.53,,,partial
2026-06-22,KOTAKBANK,Institutional Flow,Strong,402.1499938964844,0.39,,,partial
2026-06-22,BAJFINANCE,Institutional Flow,Strong,968.2999877929688,0.84,,,partial
2026-06-22,CHOLAFIN,Institutional Flow,Strong,1718.800048828125,1.21,,,partial
2026-06-22,DLF,Institutional Flow,Strong,627.5999755859375,0.38,,,partial
2026-06-22,GODREJPROP,Institutional Flow,Strong,1798.9000244140625,1.08,,,partial
2026-06-22,PRESTIGE,Institutional Flow,Strong,1512.5,3.9,,,partial
2026-06-22,PHOENIXLTD,Institutional Flow,Strong,1871.0999755859375,0.57,,,partial
2026-06-22,HDFCBANK,Institutional Flow,Strong,786.4000244140625,0.09,,,partial
2026-06-22,ICICIBANK,Institutional Flow,Strong,1352.4000244140625,1.18,,,partial
2026-06-22,SBIN,Institutional Flow,Strong,1040.75,-0.31,,,partial
2026-06-22,AXISBANK,Institutional Flow,Strong,1358.5999755859375,0.84,,,partial
2026-06-22,BAJAJFINSV,Institutional Flow,Strong,1782.199951171875,0.66,,,partial
2026-06-22,SHRIRAMFIN,Institutional Flow,Strong,992.8499755859375,1.23,,,partial
2026-06-22,OBEROIRLTY,Institutional Flow,Strong,1691.0999755859375,2.42,,,partial
2026-06-22,SBICARD,Institutional Flow,Strong,627.7999877929688,-1.28,,,partial
2026-06-22,EICHERMOT,Institutional Flow,Improving,7639.5,0.39,,,partial
2026-06-22,SUNPHARMA,Institutional Flow,Improving,1862.9000244140625,1.52,,,partial
2026-06-22,CIPLA,Institutional Flow,Improving,1415.699951171875,2.99,,,partial
2026-06-22,DIVISLAB,Institutional Flow,Improving,6787.5,0.67,,,partial
2026-06-22,NESTLEIND,Institutional Flow,Improving,1401.9000244140625,0.41,,,partial
2026-06-22,LT,Institutional Flow,Improving,4201.2998046875,0.64,,,partial
2026-06-22,SIEMENS,Institutional Flow,Improving,3767.800048828125,-1.16,,,partial
2026-06-22,BHEL,Institutional Flow,Improving,411.5,-0.34,,,partial
2026-06-22,CUMMINSIND,Institutional Flow,Improving,5764.0,0.88,,,partial
2026-06-22,HAL,Institutional Flow,Improving,4515.2001953125,-0.58,,,partial
2026-06-22,BDL,Institutional Flow,Improving,1406.699951171875,0.5,,,partial
2026-06-22,GAIL,Institutional Flow,Improving,177.3000030517578,-1.77,,,partial
2026-06-22,MARUTI,Institutional Flow,Improving,13421.0,-0.84,,,partial
2026-06-22,BAJAJ-AUTO,Institutional Flow,Improving,10191.0,-0.02,,,partial
2026-06-22,DRREDDY,Institutional Flow,Improving,1290.699951171875,1.03,,,partial
2026-06-22,LUPIN,Institutional Flow,Improving,2340.0,1.12,,,partial
2026-06-22,HINDUNILVR,Institutional Flow,Improving,2162.89990234375,0.25,,,partial
2026-06-22,ITC,Institutional Flow,Improving,291.25,0.1,,,partial
2026-06-22,DABUR,Institutional Flow,Improving,422.25,0.06,,,partial
2026-06-22,ABB,Institutional Flow,Improving,7258.0,-0.42,,,partial
2026-06-22,BEL,Institutional Flow,Improving,431.5,-0.46,,,partial
2026-06-22,MAZDOCK,Institutional Flow,Improving,2541.699951171875,0.01,,,partial
2026-06-22,COCHINSHIP,Institutional Flow,Improving,1476.4000244140625,0.4,,,partial
2026-06-22,COALINDIA,Institutional Flow,Improving,449.0,-0.02,,,partial
2026-06-22,POWERGRID,Institutional Flow,Improving,289.75,0.52,,,partial
2026-06-22,RELIANCE,Institutional Flow,Improving,1326.5,-0.01,,,partial
2026-06-22,BPCL,Institutional Flow,Improving,308.6000061035156,0.41,,,partial
2026-06-22,M&M,Institutional Flow,Improving,3063.39990234375,0.61,,,partial
2026-06-22,BRITANNIA,Institutional Flow,Improving,5217.5,1.0,,,partial
2026-06-22,ONGC,Institutional Flow,Improving,245.4499969482422,-0.1,,,partial
2026-06-22,NTPC,Institutional Flow,Improving,367.04998779296875,-0.57,,,partial
2026-06-25,INDUSINDBK,Corporate Actions,Dividend,,,,,no_price
2026-06-25,GICHSGFIN,Corporate Actions,Dividend,,,,,no_price
2026-06-25,VISAKAIND,Corporate Actions,Dividend,,,,,no_price
2026-06-25,ALKYLAMINE,Corporate Actions,Dividend,,,,,no_price
2026-06-25,MAWANASUG,Corporate Actions,Dividend,,,,,no_price
2026-06-25,CARERATING,Corporate Actions,Dividend,,,,,no_price
2026-06-25,UFLEX,Corporate Actions,Dividend,,,,,no_price
2026-06-24,WHEELS,Corporate Actions,Dividend,,,,,no_price
2026-06-24,ZFCVINDIA,Corporate Actions,Bonus Issue,,,,,no_price
2026-06-24,KOTYARK,Corporate Actions,Bonus Issue,,,,,no_price
2026-06-24,BUILDPRO,Corporate Actions,Dividend,,,,,no_price
2026-06-24,BAJAJ-AUTO,Corporate Actions,Buyback,,,,,no_price
2026-06-23,INDHOTEL,Corporate Actions,Dividend,722.75,,,,pending
2026-06-23,HINDUNILVR,Corporate Actions,Dividend,2168.39990234375,,,,pending
2026-06-23,ASIANPAINT,Corporate Actions,Dividend,2691.39990234375,,,,pending
2026-06-23,DALBHARAT,Corporate Actions,Dividend,1693.300048828125,,,,pending
2026-06-23,THYROCARE,Corporate Actions,Dividend,566.0,,,,pending
2026-06-23,GNA,Corporate Actions,Dividend,419.29998779296875,,,,pending
2026-06-23,ARSSBL,Corporate Actions,Dividend,554.4000244140625,,,,pending
2026-06-23,TATAPOWER,Corporate Actions,Dividend,400.54998779296875,,,,pending
2026-06-23,ABCAPITAL,Corporate Actions,Preferential Allotment,389.45001220703125,,,,pending
2026-06-23,LANDSMILL,Corporate Actions,Mergers & Acquisitions,0.8500000238418579,,,,pending
2026-06-23,INTERARCH,Corporate Actions,Large Order Win,1939.699951171875,,,,pending
2026-06-23,IGIL,Corporate Actions,Management Change,357.0,,,,pending
2026-05-01,JINDALSTEL,Results,Neutral,1223.0999755859375,3.13,2.07,-1.3,evaluated
2026-04-29,VEDL,Results,Strong,773.5999755859375,-64.9,-59.1,-54.15,evaluated
2026-05-22,HINDALCO,Results,Weak,1109.199951171875,-0.87,1.58,-8.94,evaluated
2026-05-14,JSWSTEEL,Results,Strong,1296.9000244140625,-1.4,-1.2,-1.13,evaluated
2026-05-15,TATASTEEL,Results,Neutral,212.45851135253906,-3.29,-3.53,-6.87,evaluated
2026-05-19,BPCL,Results,Neutral,286.45001220703125,2.55,6.34,8.95,evaluated
2026-04-24,RELIANCE,Results,Weak,1321.6890869140625,2.86,7.76,2.01,evaluated
2026-05-21,GAIL,Results,Weak,155.89999389648438,3.12,8.4,13.18,evaluated
2026-05-15,POWERGRID,Results,Neutral,305.8500061035156,-3.04,-3.78,-6.88,evaluated
2026-05-23,NTPC,Results,Neutral,390.04998779296875,-0.09,-2.91,-5.9,evaluated
2026-04-26,COALINDIA,Results,Strong,452.5,3.2,6.07,1.22,evaluated
2026-05-26,ONGC,Results,Neutral,287.5,-4.68,-7.81,-14.71,evaluated
2026-04-26,PHOENIXLTD,Results,Strong,1799.699951171875,-2.1,-0.32,-0.79,evaluated
2026-05-21,PRESTIGE,Results,Strong,1385.5999755859375,0.21,1.02,10.26,evaluated
2026-05-08,OBEROIRLTY,Results,Neutral,1700.8958740234375,-4.01,-4.92,-3.97,evaluated
2026-05-04,GODREJPROP,Results,Strong,1899.800048828125,-4.75,-5.55,-9.77,evaluated
2026-05-13,DLF,Results,Strong,574.1500244140625,1.58,1.59,-1.91,evaluated
2026-05-15,COCHINSHIP,Results,Weak,1594.5,-5.08,-3.91,-10.67,evaluated
2026-04-29,MAZDOCK,Results,Weak,2769.699951171875,-1.32,-4.52,-11.36,evaluated
2026-05-28,BDL,Results,Weak,1282.199951171875,-6.05,-5.41,,partial
2026-05-19,BEL,Results,Strong,422.95001220703125,-2.28,-0.67,-3.64,evaluated
2026-05-14,HAL,Results,Neutral,4608.0,-4.81,-5.16,-9.46,evaluated
2026-05-27,CUMMINSIND,Results,Weak,6027.5,0.0,-5.56,,partial
2026-03-31,BHEL,Results,Strong,251.83999633789062,-1.48,10.07,39.93,evaluated
2026-05-08,ABB,Results,Weak,7012.5,-8.91,-9.01,2.21,evaluated
2026-05-26,SIEMENS,Results,Weak,3677.199951171875,5.48,1.43,1.27,evaluated
2026-05-05,LT,Results,Strong,4015.28125,-1.13,-4.88,-0.36,evaluated
2026-05-07,DABUR,Results,Weak,470.0,3.77,-1.12,-9.65,evaluated
2026-05-07,BRITANNIA,Results,Neutral,5814.0,-5.06,-7.59,-12.45,evaluated
2026-05-21,ITC,Results,Weak,299.8802490234375,-2.06,-2.64,-2.91,evaluated
2026-04-30,HINDUNILVR,Results,Neutral,2228.2353515625,0.0,0.95,-2.33,evaluated
2026-05-07,LUPIN,Results,Strong,2460.10009765625,-3.28,-8.21,-8.55,evaluated
2026-03-31,DIVISLAB,Results,Strong,5906.5,-0.85,0.78,12.07,evaluated
2026-05-13,CIPLA,Results,Weak,1315.2608642578125,8.22,5.42,4.69,evaluated
2026-05-12,DRREDDY,Results,Weak,1270.0,-0.37,5.13,-0.12,evaluated
2026-05-22,SUNPHARMA,Results,Weak,1844.5999755859375,-0.22,-2.46,-0.34,evaluated
2026-05-22,EICHERMOT,Results,Neutral,6981.5,6.19,2.8,9.02,evaluated
2026-05-06,BAJAJ-AUTO,Results,Strong,10175.79296875,2.77,-0.55,0.82,evaluated
2026-06-03,M&M,Results,Strong,3011.10009765625,0.17,-1.95,,partial
2026-04-28,MARUTI,Results,Weak,12892.0,2.83,4.14,2.45,evaluated
2026-04-22,TECHM,Results,Neutral,1462.5999755859375,-2.81,-0.19,-1.61,evaluated
2026-04-21,HCLTECH,Results,Neutral,1414.126708984375,-10.82,-15.42,-16.6,evaluated
2026-04-16,WIPRO,Results,Weak,210.25999450683594,-2.83,-3.57,-10.44,evaluated
2026-04-23,INFY,Results,Neutral,1214.32275390625,-6.93,-4.74,-4.79,evaluated
2026-04-09,TCS,Results,Neutral,2554.365234375,-2.5,-0.29,-7.52,evaluated
2026-04-24,SHRIRAMFIN,Results,Weak,1011.2999877929688,-3.62,-7.31,-6.95,evaluated
2026-04-27,SBICARD,Results,Neutral,670.7000122070312,-3.47,-3.86,-6.02,evaluated
