Symbol,Sector,Catalyst Tag,Current Price,Above 20 SMA,Relative Strength,Volume Expansion,Distance from 52W High (%),Technical Status
RAMCOSYS,Technology,BIG_BULK_BUY,804.25,Y,Strong,N,7.42,Ready
RAMBHAJO,Consumer Cyclical,BIG_BULK_BUY,177.7,N,Neutral,N,7.45,Monitor
GOCOLORS,Consumer Cyclical,BIG_BULK_BUY,363.0,N,Strong,N,60.54,Monitor
BHARATSE,Consumer Cyclical,BIG_BULK_BUY,238.7,Y,Strong,Y,3.49,Ready
DIVGIITTS,Consumer Cyclical,BIG_BULK_BUY,983.6,Y,Strong,N,7.64,Ready
MOTISONS,Consumer Cyclical,BIG_BULK_BUY,14.17,Y,Neutral,N,41.01,Monitor
SAKSOFT,Technology,BIG_BULK_BUY,178.13,Y,Strong,N,29.58,Monitor
RITES,Industrials,BIG_BULK_BUY,225.9,Y,Neutral,N,22.25,Monitor
KPITTECH,Technology,BIG_BULK_BUY,559.4,N,Weak,Y,57.78,Avoid
SIGNPOST,Communication Services,BIG_BULK_BUY,299.8,Y,Strong,Y,7.47,Ready
PAISALO,Financial Services,BIG_BULK_BUY,72.5,Y,Strong,Y,3.2,Ready
ATALREAL,Industrials,BIG_BULK_BUY,28.17,N,Strong,N,11.97,Monitor
SHREEDHAR,Unknown,BIG_BULK_BUY,,N,Neutral,N,,Monitor
